lat,lng,nearest_city_cityname,nearest_city_countrycode,Temp,Humidity,Cloudiness,WindSpeed,DT
64,-18,akureyri,is,15.8,92,20,2.24,1511046000
46,54,karaton,kz,,,,,
-12,-66,rodrigues alves,br,,,,,
16,50,salalah,om,77,69,0,6.93,1511045400
66,-20,skagastrond,is,,,,,
-10,124,soe,id,75.95,93,76,2.59,1511048820
48,14,vorchdorf,at,39.2,69,75,10.29,1511047200
10,126,san benito,ph,78.8,88,75,4.7,1511046000
64,-146,fairbanks,us,-13.56,75,40,3.71,1511047200
-2,114,kualakapuas,id,77,100,40,6.93,1511046000
38,12,marsala,it,60.87,77,20,9.17,1511047200
36,70,andarab,af,,,,,
-24,-50,terra roxa,br,67.89,95,80,2.37,1511048823
42,-80,erie,us,49.44,81,90,17.22,1511046660
16,-82,iralaya,hn,80.6,74,40,6.93,1511046000
2,-68,inirida,co,80.49,82,20,2.48,1511048824
-18,166,vila,vu,,,,,
28,34,hurghada,eg,,,,,
46,-106,miles city,us,39.2,55,75,5.82,1511045580
44,48,makhachkala,ru,51.8,87,75,6.71,1511046000
48,-124,sooke,ca,48.65,66,75,4.16,1511046000
-6,18,kikwit,cd,67.26,92,32,2.82,1511048826
62,150,yagodnoye,ru,-31.88,49,0,3.38,1511048826
44,14,ancona,it,46.4,81,20,3.36,1511045400
-36,-68,san rafael,ar,69.83,17,0,4.72,1511048572
40,-74,point pleasant,us,50.18,71,90,8.05,1511046900
24,-98,soto la marina,mx,86.12,43,24,6.73,1511048828
28,94,ziro,in,52.01,91,36,1.14,1511048828
54,56,tolbazy,ru,33.8,80,90,8.95,1511046000
10,-60,rio claro,tt,80.6,83,20,4.7,1511046000
10,12,numan,ng,72.44,69,0,2.59,1511048829
0,80,matara,lk,75.09,100,12,3.6,1511048686
-6,-44,colinas,br,77.34,78,20,1.36,1511048830
24,108,jinchengjiang,cn,,,,,
46,36,novyy svit,ua,33.69,93,80,5.17,1511048831
50,-2,octeville,fr,53.6,87,90,14.99,1511047800
